	1970	1980	1990	2000	2010	2013	Bundesland	
1.	Cityscape Berlin.jpg							
Berlin	3.208.719	3.048.759	3.433.695	3.382.169	3.460.725	3.421.829	Berlin	
2.	Binnenalster am Abend.jpg							
Hamburg	1.793.640	1.645.095	1.652.363	1.715.392	1.786.448	1.746.342[2]	Hamburg	
3.	Munich skyline.jpg							
München	1.311.978	1.298.941	1.229.026	1.210.223	1.353.186	1.407.836	Bayern	
4.	Köln Panorama.jpg							
Köln	849.451	976.694	953.551	962.884	1.007.119	1.034.175	Nordrhein-Westfalen	
5.	Skyline Frankfurt am Main.jpg							
Frankfurt am Main	666.179	629.375	644.865	646.550	679.664	701.350	Hessen	
6.	StuttgartSchloßplatz20050105.jpg							
Stuttgart	634.202	580.648	579.988	583.874	606.588	604.297	Baden-Württemberg	
7.	Duesseldorf riverside by night 01.jpg							
Düsseldorf	660.963	590.479	575.794	569.364	588.735	598.686	Nordrhein-Westfalen	
8.	Dortmund Panorama.jpg							
Dortmund	640.642	608.297	599.055	588.994	580.444	575.944	Nordrhein-Westfalen	
9.	A40-Ruhrschnellweg-Huttrop.jpg							
Essen	696.419	647.643	626.973	595.243	574.635	569.884	Nordrhein-Westfalen	
10.	Weserhb2.jpg							
Bremen	592.533	555.118	551.219	539.403	547.340	548.547	Bremen	
11.	AUGUSTUSPLATZ-014.jpg							
Leipzig	583.885	562.480	511.079	493.208	522.883	531.582	Sachsen	
12.	Dresden bei Nacht.jpg							
Dresden	502.432	516.225	490.571	477.807	523.058	530.754	Sachsen	
13.	New town hall Hannover2.jpg							
Hannover	521.003	534.623	513.010	515.001	522.686	518.386	Niedersachsen	
14.	Nuremberg Frauen Lorenz Rathaus v Burg f n.jpg							
Nürnberg	478.181	484.405	493.692	488.400	505.664	498.876	Bayern	
15.	Duisburg Innenhafen bei Nacht, CN I.jpg							
Duisburg	452.721	558.089	535.447	514.915	489.559	486.855	Nordrhein-Westfalen	
16.	Bergbaumuseum.jpg							
Bochum	343.809	400.757	396.486	391.147	374.737	361.734	Nordrhein-Westfalen	
17.	Wuppertal ansicht.jpg							
Wuppertal	417.694	393.381	383.660	366.434	349.721	343.488	Nordrhein-Westfalen	
18.	Bielefeld-Nacht.jpg							
